Unnamed: 0,Boston,Chicago,DC,LA,NYC,SF,amenities,accommodates,number_of_reviews,review_scores_rating,y
0,0,0,0,1,0,0,89,6,1,60.0,138.00000000000006
1,0,0,1,0,0,0,371,2,9,100.0,42.00000000000001
2,0,0,0,0,1,0,470,2,27,83.0,64.99999999999999
3,0,0,0,0,0,1,235,2,38,95.0,166.00000000000006
4,0,0,0,0,1,0,235,2,5,100.0,164.9999999999998
5,0,0,0,0,1,0,155,2,7,94.0,55.00000000000002
6,0,0,0,0,1,0,414,2,65,91.0,48.00000000000005
7,0,0,0,1,0,0,224,2,0,94.07792781276872,149.99999999999997
8,0,0,0,0,0,1,288,2,21,87.0,95.0
9,0,0,0,0,1,0,189,2,27,88.0,79.0
10,0,0,0,0,1,0,184,4,0,94.07792781276872,275.00000000000057
11,0,0,0,0,1,0,367,2,2,100.0,79.99999999999997
12,0,0,0,1,0,0,338,3,186,98.0,144.99999999999997
13,0,0,0,0,1,0,114,2,1,100.0,119.99999999999996
14,0,1,0,0,0,0,38,8,0,94.07792781276872,349.99999999999983
15,0,0,0,0,1,0,212,6,0,94.07792781276872,395.00000000000006
16,0,0,0,0,1,0,341,6,1,100.0,149.99999999999997
17,0,0,0,0,1,0,162,2,5,96.0,220.00000000000043
18,0,0,0,1,0,0,197,2,0,94.07792781276872,100.00000000000004
19,0,0,0,1,0,0,180,2,0,94.07792781276872,69.00000000000001
20,0,0,1,0,0,0,279,9,0,94.07792781276872,680.0000000000002
21,0,0,0,0,1,0,189,6,8,98.0,195.0
22,0,0,0,0,1,0,257,2,2,100.0,119.99999999999996
23,0,0,0,1,0,0,288,2,2,60.0,78.0
24,0,0,0,1,0,0,373,3,34,92.0,125.00000000000004
25,0,1,0,0,0,0,306,6,30,95.0,128.99999999999997
26,0,0,0,1,0,0,207,1,18,91.0,32.999999999999986
27,0,0,0,0,0,1,174,6,195,97.0,268.9999999999995
28,0,0,0,1,0,0,169,1,2,100.0,79.99999999999997
29,0,1,0,0,0,0,414,2,113,97.0,51.0
30,0,0,0,0,1,0,315,5,0,94.07792781276872,369.0
31,0,0,0,0,1,0,307,4,2,100.0,135.00000000000003
32,0,0,0,1,0,0,98,2,317,98.0,115.0
33,0,0,0,1,0,0,249,4,35,91.0,55.00000000000002
34,0,0,0,1,0,0,389,16,0,94.07792781276872,1995.000000000001
